左營,台南,嘉義,雲林,彰化,台中,苗栗,新竹,桃園,板橋,台北,南港,車次,行駛日, 
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,car,day, 
,,,,,6:05,6:24,6:37,6:49,7:02,7:12,7:20,502,1234567, 
,,,,,6:30,6:49,7:02,7:14,7:27,7:37,7:45,1504,12345, 
,,,,,6:52,7:12,7:25,7:38,7:50,8:01,8:10,508,1234567, 
5:50,6:03,6:21,6:34,6:44,6:56,,,7:28,,7:47,7:55,300,1234567, 
,,,,,7:12,7:31,7:45,7:58,8:10,8:21,8:30,1510,12345, 
6:15,6:29,6:48,7:00,7:13,7:25,7:45,7:58,8:10,8:22,8:32,8:40,802,1234567, 
6:25,6:38,6:57,,,7:21,,,,,8:07,8:15,1202,12345, 
6:40,6:53,7:12,,,7:40,,8:05,8:18,8:31,8:42,8:50,1602,12345, 
6:45,6:59,7:19,7:32,7:42,7:53,,,8:27,,8:47,8:55,1302,12345, 
6:55,7:07,,,,7:48,,,,8:27,8:37,8:45,204,1234567, 
7:00,7:13,7:32,,,8:00,,8:25,8:38,8:51,9:02,9:10,606,1234567, 
,,,,,8:04,8:24,8:39,8:51,9:05,9:16,9:25,1514,12345, 
7:15,7:28,,,,8:08,,,,8:47,8:57,9:05,206,1234567, 
7:25,7:41,8:00,8:12,8:24,8:36,8:56,9:08,9:20,9:32,9:42,9:50,806,1234567, 
7:35,7:48,8:08,,,8:32,,8:57,9:11,9:25,9:36,9:45,610,1234567, 
7:55,,,,,8:39,,,,9:21,9:32,9:40,108,1234567, 
8:00,8:13,8:32,,,9:00,,9:25,9:38,9:51,10:02,10:10,612,1234567, 
8:15,8:28,,,,9:08,,,,9:47,9:57,10:05,1210,14567, 
8:25,8:41,9:00,9:12,9:24,9:36,9:56,10:08,10:20,10:32,10:42,10:50,810,1234567, 
8:35,8:48,9:08,,,9:32,,9:57,10:11,10:25,10:36,10:45,616,1234567, 
8:55,,,,,9:39,,,,10:21,10:32,10:40,112,1234567, 
9:00,9:13,9:32,,,10:00,,10:25,10:38,10:51,11:02,11:10,618,1234567, 
,,,,,10:04,10:24,10:39,10:51,11:05,11:16,11:25,1522,6, 
9:15,9:28,,,,10:08,,,,10:47,10:57,11:05,1214,6, 
9:25,9:41,10:00,10:12,10:24,10:36,10:56,11:08,11:20,11:32,11:42,11:50,814,1234567, 
9:35,9:48,10:08,,,10:32,,10:57,11:11,11:25,11:36,11:45,1622,167, 
9:55,,,,,10:39,,,,11:21,11:32,11:40,116,1234567, 
10:00,10:13,10:32,,,11:00,,11:25,11:38,11:51,12:02,12:10,624,1234567, 
10:15,10:28,,,,11:08,,,,11:47,11:57,12:05,1218,6, 
10:25,10:41,11:00,11:12,11:24,11:36,11:56,12:08,12:20,12:32,12:42,12:50,818,1234567, 
10:35,10:48,11:08,,,11:32,,11:57,12:11,12:25,12:36,12:45,628,1234567, 
10:55,,,,,11:39,,,,12:21,12:32,12:40,120,1234567, 
11:00,11:13,11:32,,,12:00,,12:25,12:38,12:51,13:02,13:10,630,1234567, 
11:25,11:41,12:00,12:12,12:24,12:36,12:56,13:08,13:20,13:32,13:42,13:50,822,1234567, 
11:35,11:48,12:08,,,12:32,,12:57,13:11,13:25,13:36,13:45,1634,5, 
11:55,,,,,12:39,,,,13:21,13:32,13:40,124,1234567, 
12:00,12:13,12:32,,,13:00,,13:25,13:38,13:51,14:02,14:10,636,1234567, 
12:25,12:41,13:00,13:12,13:24,13:36,13:56,14:08,14:20,14:32,14:42,14:50,826,1234567, 
12:35,12:48,13:08,,,13:32,,13:57,14:11,14:25,14:36,14:45,1640,567, 
12:55,,,,,13:39,,,,14:21,14:32,14:40,128,1234567, 
13:00,13:13,13:32,,,14:00,,14:25,14:38,14:51,15:02,15:10,642,1234567, 
,,,,,14:04,14:24,14:39,14:51,15:05,15:16,15:25,1538,7, 
13:25,13:41,14:00,14:12,14:24,14:36,14:56,15:08,15:20,15:32,15:42,15:50,830,1234567, 
13:35,13:48,14:08,,,14:32,,14:57,15:11,15:25,15:36,15:45,1646,567, 
13:55,,,,,14:39,,,,15:21,15:32,15:40,132,1234567, 
14:00,14:13,14:32,,,15:00,,15:25,15:38,15:51,16:02,16:10,648,1234567, 
,,,,,15:04,15:24,15:39,15:51,16:05,16:16,16:25,1542,7, 
14:15,14:28,,,,15:08,,,,15:47,15:57,16:05,1234,7, 
14:25,14:41,15:00,15:12,15:24,15:36,15:56,16:08,16:20,16:32,16:42,16:50,834,1234567, 
14:35,14:48,15:08,,,15:32,,15:57,16:11,16:25,16:36,16:45,1652,567, 
14:45,14:58,15:19,15:31,15:41,15:53,,,16:27,,16:47,16:55,1318,7, 
14:55,,,,,15:39,,,,16:21,16:32,16:40,136,1234567, 
15:00,15:13,15:32,,,16:00,,16:25,16:38,16:51,17:02,17:10,654,1234567, 
,,,,,16:04,16:24,16:39,16:51,17:05,17:16,17:25,1546,57, 
15:15,15:28,,,,16:08,,,,16:47,16:57,17:05,1238,57, 
15:25,15:41,16:00,16:12,16:24,16:36,16:56,17:08,17:20,17:32,17:42,17:50,838,1234567, 
15:35,15:48,16:08,,,16:32,,16:57,17:11,17:25,17:36,17:45,658,1234567, 
15:45,15:58,16:19,16:31,16:41,16:53,,,17:27,,17:47,17:55,1320,57, 
15:55,,,,,16:39,,,,17:21,17:32,17:40,140,1234567, 
