0,140,410,560,670,790,1060,1200,1330,1460,1490,1530,Zouying, 
140,0,280,420,530,650,920,1060,1190,1320,1350,1390,Tainan,
410,280,0,150,250,380,640,790,920,1050,1080,1120,Chiayi,
560,420,150,0,110,230,500,640,780,900,930,970,Yunlin,
670,530,250,110,0,130,390,540,670,790,820,870,Changhua,
790,650,380,230,130,0,270,410,540,670,700,750,Taichung,
1060,920,640,500,390,270,0,140,280,400,430,480,Miaoli,
1200,1060,790,640,540,410,140,0,130,260,290,330,Hsinchu,
1330,1190,920,780,670,540,280,130,0,130,160,200,Taoyuan,
1460,1320,1050,900,790,670,400,260,130,0,40,70,Banqiao,
1490,1350,1080,930,820,700,430,290,160,40,0,40,Taipei,
1530,1390,1120,970,870,750,480,330,200,70,40,0,Nangang,
Zouying,Tainan,Chiayi,Yunlin,Changhua,Taichung,Miaoli,Hsinchu,Taoyuan,Banqiao,Taipei,Nangang,
